SAMPLE_ID,CMYK_C,CMYK_M,CMYK_Y,CMYK_K,L,A,B,X,Y,Z
166,40,0,40,20,58.8,-13.17,10.46,22.82,26.82,17.16
167,0,40,40,20,57.59,15.99,16.1,28.54,25.54,14.02
168,100,100,0,40,37.32,4.65,-12.63,9.94,9.71,11.79
169,100,0,100,40,44.3,-19.73,10.65,10.69,14.05,8.38
170,0,100,100,40,43.09,24.03,15.26,16.7,13.22,6.7
171,40,40,0,40,45.97,4.56,-7.34,15.47,15.25,15.35
172,40,0,40,40,51.56,-9.94,8.97,17.16,19.75,12.81
173,0,40,40,40,50.73,12.34,13.23,20.82,19.03,10.88
174,100,0,0,70,39.34,-8.37,-8.45,9.41,10.86,11.55
175,0,100,0,70,38.6,17.8,1.8,12.51,10.43,8.12
176,0,0,100,70,47.78,-1.17,23.94,15.82,16.62,6.56
177,100,100,0,70,34.64,3.73,-7.81,8.44,8.32,8.87
178,100,0,100,70,39.74,-13.85,7.95,8.95,11.1,7.06
179,0,100,100,70,38.68,16.74,11.39,12.41,10.47,5.87
180,40,40,0,70,39.62,3.67,-3.58,11.13,11.02,10.15
181,40,0,40,70,43.45,-6.51,7.1,12.02,13.46,8.96
182,0,40,40,70,42.89,8.77,10.07,13.97,13.09,7.89
183,0,0,0,0,82.61,-0.06,3.02,59.21,61.44,48.02
184,0,10,0,0,78.35,6.02,1.51,54.22,53.81,43.16
185,0,20,0,0,74.23,11.98,0.19,49.7,47.06,38.68
186,0,40,0,0,67.55,22.37,-1.64,43.16,37.36,31.89
187,0,70,0,0,60.3,34.12,-2.48,36.9,28.46,24.83
188,0,100,0,0,54.93,43.8,-1.45,32.94,22.86,19.53
189,10,0,0,0,78.84,-3.84,-1.91,51.22,54.65,46.68
190,10,10,0,0,74.94,2.06,-2.99,47.19,48.18,42.06
191,10,20,0,0,71.06,7.8,-4.13,43.35,42.27,37.83
192,10,40,0,0,64.69,17.68,-5.58,37.66,33.66,31.25
193,10,70,0,0,57.9,28.83,-6.08,32.33,25.86,24.53
194,10,100,0,0,52.83,37.99,-5.02,28.91,20.89,19.51
195,20,0,0,0,75.28,-7.33,-6.53,44.4,48.73,45.41
196,20,10,0,0,71.59,-1.67,-7.4,40.96,43.05,40.99
197,20,20,0,0,67.98,3.85,-8.26,37.76,37.94,36.97
198,20,40,0,0,62,13.23,-9.33,32.91,30.4,30.67
199,20,70,0,0,55.58,23.86,-9.53,28.33,23.49,24.22
200,20,100,0,0,50.86,32.42,-8.4,25.42,19.14,19.5
201,40,0,0,0,69.7,-12.65,-13.82,35.02,40.32,43.5
202,40,10,0,0,66.35,-7.46,-14.29,32.37,35.78,39.35
203,40,20,0,0,63.1,-2.34,-14.74,29.95,31.71,35.59
204,40,40,0,0,57.69,6.23,-15.22,26.2,25.64,29.7
205,40,70,0,0,51.98,15.92,-14.89,22.75,20.13,23.77
206,40,100,0,0,47.79,23.62,-13.65,20.53,16.63,19.48
207,70,0,0,0,63.58,-18.02,-21.59,26.48,32.29,41.29
208,70,10,0,0,60.73,-13.3,-21.51,24.68,28.95,37.52
209,70,20,0,0,57.87,-8.61,-21.47,22.94,25.83,33.99
210,70,40,0,0,53.23,-0.84,-21.13,20.33,21.26,28.6
211,70,70,0,0,48.29,7.72,-20.24,17.82,17.02,23.22
212,70,100,0,0,44.76,14.3,-18.83,16.25,14.37,19.47
213,100,0,0,0,58.39,-21.98,-27.85,20.55,26.38,39.23
214,100,10,0,0,55.95,-17.48,-27.25,19.34,23.87,35.72
215,100,20,0,0,53.59,-13.11,-26.63,18.21,21.59,32.49
216,100,40,0,0,49.69,-5.89,-25.51,16.44,18.16,27.55
217,100,70,0,0,45.55,1.58,-23.95,14.66,14.94,22.69
218,100,100,0,0,42.63,6.71,-22.43,13.47,12.91,19.43
219,0,0,10,0,81.87,-0.97,10.92,57.52,60.06,40.54
220,0,10,10,0,77.75,5.32,8.88,52.94,52.8,36.76
221,0,20,10,0,73.71,11.35,7.09,48.64,46.25,33.14
222,0,40,10,0,67.07,21.81,4.29,42.28,36.72,27.65
223,0,70,10,0,59.91,33.68,2.25,36.25,28.02,21.95
224,0,100,10,0,54.56,43.38,2.29,32.37,22.5,17.53
225,10,0,10,0,78.24,-4.81,5.88,49.88,53.62,39.6
226,10,10,10,0,74.4,1.13,4.17,46.03,47.32,35.98
227,10,20,10,0,70.55,6.97,2.62,42.33,41.53,32.49
228,10,40,10,0,64.28,16.92,0.2,36.88,33.14,27.22
229,10,70,10,0,57.54,28.22,-1.47,31.73,25.48,21.76
230,10,100,10,0,52.5,37.45,-1.37,28.41,20.6,17.59
231,20,0,10,0,74.71,-8.42,1.11,43.19,47.82,38.62
232,20,10,10,0,71.05,-2.71,-0.4,39.87,42.26,35.14
233,20,20,10,0,67.5,2.87,-1.62,36.83,37.3,31.81
234,20,40,10,0,61.57,12.35,-3.67,32.14,29.9,26.75
235,20,70,10,0,55.25,23.07,-5,27.77,23.17,21.55
236,20,100,10,0,50.58,31.75,-4.79,24.97,18.91,17.63
237,40,0,10,0,69.1,-14.08,-6.49,33.85,39.48,37.08
238,40,10,10,0,65.81,-8.78,-7.56,31.36,35.08,33.85
239,40,20,10,0,62.63,-3.66,-8.41,29.07,31.15,30.78
240,40,40,10,0,57.32,5.08,-9.73,25.54,25.25,26.02
241,40,70,10,0,51.68,14.92,-10.55,22.24,19.86,21.24
242,40,100,10,0,47.55,22.72,-10.11,20.13,16.44,17.67
243,70,0,10,0,62.96,-19.82,-14.51,25.4,31.54,35.25
244,70,10,10,0,60.18,-14.95,-15.03,23.75,28.33,32.35
245,70,20,10,0,57.4,-10.23,-15.39,22.14,25.34,29.49
246,70,40,10,0,52.83,-2.24,-15.91,19.69,20.89,25.14
247,70,70,10,0,48.01,6.54,-16.02,17.38,16.8,20.82
248,70,100,10,0,44.53,13.25,-15.33,15.9,14.21,17.68
249,100,0,10,0,57.71,-24.05,-20.98,19.54,25.66,33.47
250,100,10,10,0,55.36,-19.42,-20.94,18.45,23.28,30.77
251,100,20,10,0,53.05,-14.97,-20.74,17.42,21.1,28.17
252,100,40,10,0,49.25,-7.62,-20.45,15.8,17.8,24.23
253,100,70,10,0,45.24,0.25,-19.86,14.23,14.72,20.36
254,100,100,10,0,42.38,5.67,-18.82,13.14,12.75,17.59
255,0,0,20,0,81.23,-1.69,18.58,56.1,58.89,34.15
256,0,10,20,0,77.16,4.65,16.14,51.7,51.8,31.1
257,0,20,20,0,73.2,10.81,13.75,47.64,45.47,28.32
258,0,40,20,0,66.61,21.32,10.06,41.46,36.12,23.91
259,0,70,20,0,59.48,33.23,6.95,35.57,27.55,19.28
260,0,100,20,0,54.18,42.94,5.87,31.8,22.15,15.74
261,10,0,20,0,77.62,-5.66,13.41,48.58,52.56,33.43
262,10,10,20,0,73.82,0.37,11.28,44.89,46.42,30.52
263,10,20,20,0,70.04,6.27,9.11,41.38,40.81,27.83
264,10,40,20,0,63.85,16.29,5.84,36.12,32.61,23.62
265,10,70,20,0,57.16,27.67,3.11,31.13,25.09,19.2
266,10,100,20,0,52.17,36.89,2.18,27.9,20.29,15.83
267,20,0,20,0,74.14,-9.39,8.49,42.04,46.92,32.7
268,20,10,20,0,70.52,-3.64,6.51,38.84,41.49,29.94
269,20,20,20,0,67.02,1.94,4.7,35.93,36.66,27.36
270,20,40,20,0,61.17,11.55,1.83,31.45,29.44,23.3
271,20,70,20,0,54.91,22.36,-0.54,27.22,22.85,19.09
272,20,100,20,0,50.26,31.12,-1.3,24.51,18.64,15.91
273,40,0,20,0,68.54,-15.33,0.56,32.81,38.71,31.57
274,40,10,20,0,65.29,-9.96,-0.92,30.43,34.41,28.95
275,40,20,20,0,62.16,-4.79,-2.28,28.26,30.59,26.54
276,40,40,20,0,56.94,4.08,-4.42,24.91,24.86,22.74
277,40,70,20,0,51.35,13.94,-6.21,21.73,19.58,18.88
278,40,100,20,0,47.31,21.88,-6.73,19.76,16.26,16.05
279,70,0,20,0,62.37,-21.37,-7.73,24.44,30.83,30.06
280,70,10,20,0,59.64,-16.45,-8.62,22.89,27.72,27.71
281,70,20,20,0,56.94,-11.62,-9.47,21.41,24.86,25.5
282,70,40,20,0,52.46,-3.53,-10.86,19.11,20.55,22.08
283,70,70,20,0,47.72,5.36,-11.81,16.93,16.57,18.57
284,70,100,20,0,44.3,12.28,-11.92,15.56,14.05,16.05
285,100,0,20,0,57.06,-25.95,-14.34,18.61,24.98,28.48
286,100,10,20,0,54.75,-21.26,-14.72,17.62,22.69,26.35
287,100,20,20,0,52.53,-16.71,-15.07,16.69,20.62,24.38
288,100,40,20,0,48.86,-9.18,-15.6,15.25,17.48,21.34
289,100,70,20,0,44.92,-1.08,-15.81,13.79,14.48,18.19
290,100,100,20,0,42.14,4.72,-15.38,12.84,12.59,15.93
291,0,0,40,0,80.34,-2.58,31.48,54.2,57.28,25.16
292,0,10,40,0,76.32,3.82,28.08,50.01,50.41,23.23
293,0,20,40,0,72.41,10.04,24.82,46.15,44.27,21.43
294,0,40,40,0,65.88,20.62,19.55,40.2,35.17,18.55
295,0,70,40,0,58.84,32.57,14.54,34.55,26.86,15.47
296,0,100,40,0,53.61,42.3,11.79,30.95,21.61,13.07
297,10,0,40,0,76.7,-6.82,25.92,46.73,51.03,24.76
298,10,10,40,0,72.98,-0.75,22.88,43.27,45.14,22.93
299,10,20,40,0,69.24,5.24,19.84,39.93,39.68,21.19
300,10,40,40,0,63.13,15.34,15.08,34.93,31.75,18.43
301,10,70,40,0,56.54,26.78,10.53,30.17,24.45,15.49
302,10,100,40,0,51.65,36.02,7.98,27.12,19.84,13.23
303,20,0,40,0,73.2,-10.86,20.58,40.23,45.47,24.37
304,20,10,40,0,69.68,-5.03,17.8,37.28,40.29,22.61
305,20,20,40,0,66.23,0.67,15.14,34.54,35.62,20.94
306,20,40,40,0,60.47,10.36,10.81,30.31,28.65,18.28
307,20,70,40,0,54.33,21.27,6.72,26.33,22.28,15.49
308,20,100,40,0,49.81,30.03,4.42,23.81,18.26,13.37
309,40,0,40,0,67.58,-17.17,12.11,31.16,37.41,23.72
310,40,10,40,0,64.43,-11.78,9.87,28.97,33.33,22.03
311,40,20,40,0,61.36,-6.47,7.68,26.96,29.66,20.48
312,40,40,40,0,56.28,2.5,4.18,23.89,24.19,18.01
313,40,70,40,0,50.86,12.57,0.81,20.98,19.14,15.46
314,40,100,40,0,46.88,20.5,-1.18,19.12,15.93,13.58
315,70,0,40,0,61.36,-23.74,3.28,22.91,29.66,22.7
316,70,10,40,0,58.72,-18.72,1.62,21.53,26.73,21.23
317,70,20,40,0,56.09,-13.82,-0.04,20.19,24.01,19.82
318,70,40,40,0,51.8,-5.53,-2.64,18.18,19.97,17.61
319,70,70,40,0,47.22,3.61,-5.11,16.24,16.19,15.32
320,70,100,40,0,43.9,10.76,-6.44,15.01,13.77,13.62
321,100,0,40,0,55.99,-28.84,-3.7,17.2,23.9,21.53
322,100,10,40,0,53.8,-24.1,-4.88,16.35,21.79,20.25
323,100,20,40,0,51.68,-19.36,-5.99,15.58,19.86,19.03
324,100,40,40,0,48.18,-11.58,-7.81,14.36,16.94,17.14
325,100,70,40,0,44.41,-3.1,-9.32,13.14,14.13,15.07
326,100,100,40,0,41.7,3.14,-9.93,12.32,12.3,13.5
327,0,0,70,0,79.44,-2.91,46.28,52.56,55.69,17.06
328,0,10,70,0,75.45,3.46,41.73,48.49,48.99,16.07
329,0,20,70,0,71.57,9.67,37.37,44.75,43.02,15.12
330,0,40,70,0,65.09,20.22,30.19,38.99,34.16,13.58
331,0,70,70,0,58.13,32.08,22.88,33.52,26.09,11.91
332,0,100,70,0,52.96,41.7,18.3,30.03,21.01,10.5
333,10,0,70,0,75.74,-7.47,40.1,45.04,49.46,16.97
334,10,10,70,0,72.05,-1.4,35.94,41.7,43.73,16.04
335,10,20,70,0,68.39,4.58,31.94,38.55,38.5,15.1
336,10,40,70,0,62.33,14.69,25.37,33.74,30.79,13.61
337,10,70,70,0,55.87,26.07,18.72,29.22,23.78,12
338,10,100,70,0,51.03,35.25,14.37,26.28,19.3,10.69
339,20,0,70,0,72.15,-11.72,34.17,38.51,43.88,16.86
340,20,10,70,0,68.7,-5.91,30.39,35.74,38.93,15.95
341,20,20,70,0,65.32,-0.22,26.76,33.15,34.45,15.05
342,20,40,70,0,59.68,9.47,20.78,29.17,27.77,13.61
343,20,70,70,0,53.66,20.37,14.71,25.43,21.66,12.07
344,20,100,70,0,49.2,29.09,10.61,23.01,17.76,10.88
345,40,0,70,0,66.4,-18.56,24.8,29.43,35.85,16.63
346,40,10,70,0,63.39,-13.12,21.63,27.49,32.05,15.78
347,40,20,70,0,60.42,-7.81,18.58,25.65,28.59,14.95
348,40,40,70,0,55.47,1.25,13.59,22.83,23.39,13.59
349,40,70,70,0,50.19,11.31,8.39,20.12,18.57,12.18
350,40,100,70,0,46.35,19.31,4.93,18.44,15.53,11.13
351,70,0,70,0,60.14,-25.66,15,21.36,28.28,16.21
352,70,10,70,0,57.63,-20.64,12.48,20.16,25.58,15.47
353,70,20,70,0,55.11,-15.63,10.04,18.99,23.04,14.71
354,70,40,70,0,50.99,-7.27,6.04,17.2,19.26,13.52
355,70,70,70,0,46.61,1.98,2.03,15.5,15.73,12.25
356,70,100,70,0,43.36,9.22,-0.57,14.37,13.4,11.24
357,100,0,70,0,54.8,-31.17,7.33,15.86,22.73,15.57
358,100,10,70,0,52.74,-26.4,5.28,15.16,20.81,14.97
